Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_cu,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,grid_index,gust
0,1.243228485064527,0,0,0,1.5456170660758388,1.921555163547344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,16.749163879598662
0,1.2676880059239453,0,0,0,1.6070328803634286,2.037216307562129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,16.881270903010034
0,1.2921475267833635,0,0,0,1.6696452309723633,2.1574279558065768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,17.013377926421406
0,1.3166070476427814,0,0,0,1.733454117902641,2.2822779083960181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,17.145484949832774
0,1.3410665685021996,0,0,0,1.798459541154265,2.4118539654457907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,17.277591973244146
0,1.3655260893616179,0,0,0,1.8646615007272334,2.5462439270712247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,17.409698996655518
0,1.3899856102210362,0,0,0,1.9320599966215464,2.685535593387653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,17.54180602006689
0,1.4144451310804547,0,0,0,2.0006550288372047,2.8298167645104106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,17.673913043478262
0,1.4389046519398723,0,0,0,2.0704465973742048,2.9791752405548233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,17.80602006688963
0,1.4633641727992905,0,0,0,2.1414347022325519,3.1336988216362331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,17.938127090301002
