Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],grid_index,gust
0,-0.54667306313272968,0,0,0,0.29885143795492147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,10.408026755852843
0,-0.52852278786634777,0,0,0,0.27933633729401647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,10.540133779264213
0,-0.51037251259996552,0,0,0,0.26048010161760199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,10.672240802675585
0,-0.49222223733358333,0,0,0,0.24228273092567845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10.804347826086957
0,-0.47407196206720142,0,0,0,0.22474422521824608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,10.936454849498327
0,-0.45592168680081924,0,0,0,0.20786458449530432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,11.068561872909699
0,-0.43777141153443727,0,0,0,0.19164380875685363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,11.200668896321069
0,-0.41962113626805508,0,0,0,0.17608189800289364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,11.332775919732441
0,-0.4014708610016729,0,0,0,0.16117885223342457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,11.464882943143813
0,-0.38332058573529093,0,0,0,0.14693467144844652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,11.596989966555183
0,-0.36517031046890874,0,0,0,0.13334935564795919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,11.729096989966555
