storm,eta_pred,observed
Dudley,2.2379899495949527,10.0
Dudley,1.9048117498423094,1.0
Dudley,2.566616925265046,0.0
Dudley,2.5275044745757187,851.0
Dudley,2.887692672625771,1.0
Dudley,3.1568000917579524,266.0
Dudley,3.7224700733185734,2.0
Dudley,2.6045364226950776,1.0
Dudley,3.221061041541319,277.0
Dudley,2.0360980563589317,19.0
Dudley,2.6553130716313804,89.0
Dudley,1.919571562227991,187.0
Dudley,2.1615402658791916,2.0
Dudley,2.449455894652555,1.0
Dudley,2.548760387016437,330.0
Dudley,1.837531183680406,122.0
Dudley,2.1838980933970418,3.0
Dudley,1.8660898523621239,3.0
Dudley,2.3543524195535253,1.0
Dudley,2.5347107873956065,50.0
Dudley,1.8050542306434545,8.0
Dudley,2.097719792241063,0.0
Dudley,1.8316826195352633,7.0
Dudley,2.0624095061966843,1.0
Dudley,2.534280312694492,87.0
Dudley,1.9959235256360024,57.0
Dudley,2.1497610184819878,27.0
Dudley,2.537301265969489,1407.0
Dudley,2.537301265969489,190.0
